time_bin,rtt,time_bin_mid
"[76, 77)",0.08012468030687492,76.5
"[77, 78)",0.17241714285722445,77.5
"[78, 79)",0.1053361261260751,78.5
"[79, 80)",0.07496532915364243,79.5
"[81, 82)",0.10469999999996844,81.5
"[82, 83)",0.15443540540540296,82.5
"[84, 85)",0.12230274999998478,84.5
"[85, 86)",0.15397177285311966,85.5
"[86, 87)",0.28417517857193025,86.5
"[87, 88)",0.13028829457363728,87.5
"[89, 90)",0.13067872340417716,89.5
"[90, 91)",0.1639263218391974,90.5
"[91, 92)",0.10372866379305444,91.5
"[92, 93)",0.0750565818182221,92.5
"[93, 94)",0.08685832684825104,93.5
"[94, 95)",0.10469999999996844,94.5
"[95, 96)",0.08788144893111755,95.5
"[96, 97)",0.10469999999996844,96.5
"[97, 98)",0.10007173708920165,97.5
"[98, 99)",0.08187777777777992,98.5
"[99, 100)",0.10469999999996844,99.5
"[100, 101)",0.1423226351351358,100.5
"[102, 103)",0.10469999999996844,102.5
"[103, 104)",0.08964762886598102,103.5
"[104, 105)",0.11850230769230549,104.5
"[105, 106)",0.10469999999996844,105.5
"[106, 107)",0.09268117647058749,106.5
"[107, 108)",0.10469999999996844,107.5
"[108, 109)",0.07622439490445815,108.5
"[109, 110)",0.07590097656245748,109.5
"[110, 111)",0.16734640000014414,110.5
"[111, 112)",0.11284744680847779,111.5
"[112, 113)",0.21781636363645226,112.5
"[113, 114)",0.07684914691938056,113.5
"[114, 115)",0.16799439393947238,114.5
"[115, 116)",0.10469999999996844,115.5
"[116, 117)",0.10854773584905518,116.5
"[117, 118)",0.10469999999996844,117.5
"[118, 119)",0.11671770764119588,118.5
"[120, 121)",0.11320265306122136,120.5
"[123, 124)",0.09634940594059285,123.5
"[124, 125)",0.09119359872608518,124.5
"[125, 126)",0.14317056872046435,125.5
"[127, 128)",0.1153141935483364,127.5
"[128, 129)",0.14040603053494913,128.5
"[130, 131)",0.10013620155118184,130.5
"[131, 132)",0.07877386076046476,131.5
"[132, 133)",0.14061283464623128,132.5
"[133, 134)",0.10129931726986542,133.5
"[134, 135)",0.08024787581798114,134.5
"[135, 136)",0.16343708661473064,135.5
"[137, 138)",0.1027514285714923,137.5
"[138, 139)",0.09023903553383106,138.5
"[140, 141)",0.10038472973039578,140.5
"[141, 142)",0.13527813953515921,141.5
"[142, 143)",0.14155929687559277,142.5
"[143, 144)",0.11068111437031616,143.5
"[144, 145)",0.10470000000011055,144.5
"[145, 146)",0.12600293233140356,145.5
"[146, 147)",0.11810090395544814,146.5
"[147, 148)",0.0920186936947144,147.5
"[148, 149)",0.10392166666675944,148.5
"[149, 150)",0.1245967857144653,149.5
"[151, 152)",0.1027514285714923,151.5
"[152, 153)",0.12525709677502864,152.5
"[153, 154)",0.10660584070895687,153.5
"[155, 156)",0.12005053571486357,155.5
"[158, 159)",0.10470000000011055,158.5
"[159, 160)",0.1541887290977792,159.5
"[162, 163)",0.07619871165742025,162.5
"[163, 164)",0.19156415584711542,163.5
"[164, 165)",0.2301943375425929,164.5
"[165, 166)",0.13363121495364905,165.5
"[166, 167)",0.12285459302365916,166.5
"[167, 168)",0.10906229166678887,167.5
"[168, 169)",0.10268012515790391,168.5
"[169, 170)",0.19186336000267978,169.5
"[170, 171)",0.2344953409114767,170.5
"[171, 172)",0.14044151515220404,171.5
"[172, 173)",0.1653544715454862,172.5
"[174, 175)",0.1566883802822512,174.5
"[175, 176)",0.16519500000036658,175.5
"[176, 177)",0.1587458750006901,176.5
"[177, 178)",0.1607836257317534,177.5
"[178, 179)",0.128987959183948,178.5
"[179, 180)",0.1355005970155677,179.5
"[180, 181)",0.13914097505772507,180.5
"[182, 183)",0.13377173228409034,182.5
"[183, 184)",0.15008103225887046,183.5
"[184, 185)",0.15415633027607722,184.5
"[185, 186)",0.1027514285714923,185.5
"[186, 187)",0.11165574879308454,186.5
"[188, 189)",0.10419307692317567,188.5
"[189, 190)",0.16363917948786144,189.5
"[190, 191)",0.10470000000011055,190.5
"[191, 192)",0.09013535014087719,191.5
"[192, 193)",0.10470000000011055,192.5
"[193, 194)",0.09208489426063246,193.5
"[194, 195)",0.1027514285714923,194.5
"[195, 196)",0.155580578778908,195.5
"[197, 198)",0.10470000000011055,197.5
"[198, 199)",0.14739736842171014,198.5
"[199, 200)",0.13377173228409034,199.5
