time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load
7.39999999999999,0.0,0.0,0.0,
7.43002999999999,,,,0.0
7.499999999999989,0.0,0.0,0.0,
7.530029999999989,,,,0.0
7.599999999999989,0.0,0.0,0.0,
7.630029999999989,,,,0.0
7.699999999999989,0.0,0.0,0.0,
7.730029999999989,,,,0.0
7.799999999999988,0.0,0.0,0.0,
7.830029999999988,,,,0.0
7.899999999999988,0.0,0.0,0.0,
7.930029999999988,,,,0.0
7.999999999999988,0.0,0.0,0.0,
8.030029999999988,,,,0.0
8.099999999999987,0.0,0.0,0.0,
8.130029999999987,,,,0.0
8.199999999999987,0.0,0.0,0.0,
8.230029999999987,,,,0.0
8.299999999999986,0.0,0.0,0.0,
8.330029999999987,,,,0.0
8.399999999999986,0.0,0.0,0.0,
8.430029999999986,,,,0.0
8.499999999999986,0.0,0.0,0.0,
8.530029999999986,,,,0.0
8.599999999999985,0.0,0.0,0.0,
8.630029999999985,,,,0.0
8.699999999999985,0.0,0.0,0.0,
8.730029999999985,,,,0.0
8.799999999999985,0.0,0.0,0.0,
8.830029999999985,,,,0.0
8.899999999999984,0.0,0.0,0.0,
8.930029999999984,,,,0.0
8.999999999999984,0.0,0.0,0.0,
9.030029999999984,,,,0.0
9.099999999999984,0.0,0.0,0.0,
9.130029999999984,,,,0.0
9.199999999999983,0.0,0.0,0.0,
9.230029999999983,,,,0.0
9.299999999999983,0.0,0.0,0.0,
9.330029999999983,,,,0.0
9.399999999999983,0.0,0.0,0.0,
9.430029999999983,,,,0.0
9.499999999999982,0.0,0.0,0.0,
9.530029999999982,,,,0.0
9.599999999999982,0.0,0.0,0.0,
9.630029999999982,,,,0.0
9.699999999999982,0.0,0.0,0.0,
9.730029999999982,,,,0.0
9.799999999999981,0.0,0.0,0.0,
9.830029999999981,,,,0.0
9.89999999999998,0.0,0.0,0.0,
9.93002999999998,,,,0.0
9.99999999999998,0.0,0.0,0.0,
10.03002999999998,,,,0.0
10.09999999999998,0.0,0.0,0.0,
10.13002999999998,,,,0.0
10.19999999999998,0.0,0.0,0.0,
10.23002999999998,,,,0.0
10.29999999999998,0.0,0.0,0.0,
10.33002999999998,,,,0.0
10.399999999999979,0.0,0.0,0.0,
10.430029999999979,,,,0.0
10.499999999999979,0.0,0.0,0.0,
10.530029999999979,,,,0.0
10.599999999999978,0.0,0.0,0.0,
10.630029999999978,,,,0.0
10.699999999999978,0.0,0.0,0.0,
10.730029999999978,,,,0.0
10.799999999999978,0.0,0.0,0.0,
