time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load,Queue_5_load,Queue_6_load
3.0280499999999946,,,7.0,,,
3.0281299999999973,,,8.0,,,
3.0281599999999975,,,9.0,,,
3.0288999999999944,,,9.0,,,
3.0288999999999944,,,8.0,,,
3.028979999999997,,,9.0,,,
3.0290099999999973,,,10.0,,,
3.029749999999994,,,10.0,,,
3.029749999999994,,,9.0,,,
3.029829999999997,,,10.0,,,
3.029859999999997,,,11.0,,,
3.030599999999994,,,11.0,,,
3.030599999999994,,,10.0,,,
3.0306799999999967,,,11.0,,,
3.030709999999997,,,12.0,,,
3.0314499999999938,,,12.0,,,
3.0314499999999938,,,11.0,,,
3.0315299999999965,,,12.0,,,
3.0315599999999967,,,13.0,,,
3.0322999999999936,,,13.0,,,
3.0322999999999936,,,12.0,,,
3.0323799999999963,,,13.0,,,
3.0324099999999965,,,14.0,,,
3.0331499999999934,,,14.0,,,
3.0331499999999934,,,13.0,,,
3.033229999999996,,,14.0,,,
3.0332599999999963,,,15.0,,,
3.033999999999993,,,15.0,,,
3.033999999999993,,,14.0,,,
3.034079999999996,,,15.0,,,
3.034109999999996,,,16.0,,,
3.034849999999993,,,16.0,,,
3.034849999999993,,,15.0,,,
3.0349299999999957,,,16.0,,,
3.034959999999996,,,17.0,,,
3.0356999999999927,,,17.0,,,
3.0356999999999927,,,16.0,,,
3.0357799999999955,,,17.0,,,
3.0358099999999957,,,18.0,,,
3.0365499999999925,,,18.0,,,
3.0365499999999925,,,17.0,,,
3.0366299999999953,,,18.0,,,
3.0366599999999955,,,19.0,,,
3.0373999999999923,,,19.0,,,
3.0373999999999923,,,18.0,,,
3.037479999999995,,,19.0,,,
3.0375099999999953,,,20.0,,,
3.038249999999992,,,20.0,,,
3.038249999999992,,,19.0,,,
3.038329999999995,,,20.0,,,
3.038359999999995,,,21.0,,,
3.039099999999992,,,21.0,,,
3.039099999999992,,,20.0,,,
3.0391799999999947,,,21.0,,,
3.039209999999995,,,22.0,,,
3.0399499999999917,,,22.0,,,
3.0399499999999917,,,21.0,,,
3.0400299999999945,,,22.0,,,
3.0400599999999947,,,23.0,,,
3.0407999999999915,,,23.0,,,
3.0407999999999915,,,22.0,,,
3.0408799999999943,,,23.0,,,
3.0409099999999945,,,24.0,,,
3.0416499999999913,,,24.0,,,
3.0416499999999913,,,23.0,,,
3.041729999999994,,,24.0,,,
3.0417599999999942,,,25.0,,,
3.042499999999991,,,25.0,,,
3.042499999999991,,,24.0,,,
3.042579999999994,,,25.0,,,
3.042609999999994,,,26.0,,,
3.043349999999991,,,26.0,,,
3.043349999999991,,,25.0,,,
3.0434299999999936,,,26.0,,,
3.043459999999994,,,27.0,,,
3.0441999999999907,,,27.0,,,
3.0441999999999907,,,26.0,,,
3.0442799999999934,,,27.0,,,
3.0443099999999936,,,28.0,,,
3.0450499999999905,,,28.0,,,
3.0450499999999905,,,27.0,,,
3.0451299999999932,,,28.0,,,
3.0451599999999934,,,29.0,,,
3.0458999999999903,,,29.0,,,
3.0458999999999903,,,28.0,,,
3.045979999999993,,,29.0,,,
3.0460099999999932,,,30.0,,,
3.04674999999999,,,30.0,,,
3.04674999999999,,,29.0,,,
3.046829999999993,,,30.0,,,
3.046859999999993,,,31.0,,,
3.04759999999999,,,31.0,,,
3.04759999999999,,,30.0,,,
3.0476799999999926,,,31.0,,,
3.047709999999993,,,32.0,,,
3.0484499999999897,,,32.0,,,
3.0484499999999897,,,31.0,,,
3.0485299999999924,,,32.0,,,
3.0485599999999926,,,33.0,,,
3.0492999999999895,,,33.0,,,
3.0492999999999895,,,32.0,,,
3.049379999999992,,,33.0,,,
3.0494099999999924,,,34.0,,,
3.0501499999999893,,,34.0,,,
3.0501499999999893,,,33.0,,,
3.050229999999992,,,34.0,,,
3.050259999999992,,,35.0,,,
