time,Router_5_load
3.6340299999999868,37
3.6354800000000056,38
3.6355250000000057,38
3.6455299999999866,38
3.6455299999999866,37
3.6455299999999866,37
3.6455550000000057,38
3.6456000000000057,38
3.6556300000000057,39
3.655675000000006,39
3.6570299999999865,39
3.6570299999999865,38
3.6570299999999865,38
3.6657050000000058,39
3.665750000000006,39
3.6685299999999863,39
3.6685299999999863,38
3.6685299999999863,38
3.675780000000006,39
3.675825000000006,39
3.680029999999986,39
3.680029999999986,38
3.680029999999986,38
3.685855000000006,39
3.685900000000006,39
3.691529999999986,39
3.691529999999986,38
3.691529999999986,38
3.695930000000006,39
3.695975000000006,39
3.703029999999986,39
3.703029999999986,38
3.703029999999986,38
3.706005000000006,39
3.706050000000006,39
3.7145299999999857,39
3.7145299999999857,38
3.7145299999999857,38
3.716080000000006,39
3.716125000000006,39
3.7260299999999855,39
3.7260299999999855,38
3.7260299999999855,38
3.726155000000006,39
3.726200000000006,39
3.736230000000006,40
3.7362750000000062,40
3.7375299999999854,40
3.7375299999999854,39
3.7375299999999854,39
3.746305000000006,40
3.7463500000000063,40
3.749029999999985,40
3.749029999999985,39
3.749029999999985,39
3.7563800000000063,40
3.7564250000000063,40
3.760529999999985,40
3.760529999999985,39
3.760529999999985,39
3.7664550000000063,40
3.7665000000000064,40
3.772029999999985,40
3.772029999999985,39
3.772029999999985,39
3.7765300000000064,40
3.7765600000000066,41
3.7765750000000065,41
3.7835299999999847,41
3.7835299999999847,40
3.7835299999999847,40
3.7866050000000064,41
3.7866500000000065,41
3.7950299999999846,41
3.7950299999999846,40
3.7950299999999846,40
3.7966800000000065,41
3.7967250000000066,41
3.8065299999999844,41
3.8065299999999844,40
3.8065299999999844,40
3.8067550000000066,41
3.8068000000000066,41
3.8168300000000066,42
3.8168750000000067,42
3.8180299999999843,42
3.8180299999999843,41
3.8180299999999843,41
3.8269050000000067,42
3.8269500000000067,42
3.829529999999984,42
3.829529999999984,41
3.829529999999984,41
3.8369800000000067,42
3.837025000000007,42
3.841029999999984,42
3.841029999999984,41
3.841029999999984,41
3.8470550000000068,42
3.847100000000007,42
3.852529999999984,42
3.852529999999984,41
3.852529999999984,41
3.857130000000007,42
3.857175000000007,42
3.8640299999999836,42
3.8640299999999836,41
3.8640299999999836,41
3.867205000000007,42
3.867250000000007,42
3.8755299999999835,42
3.8755299999999835,41
3.8755299999999835,41
3.877280000000007,42
3.877325000000007,42
3.8870299999999833,42
3.8870299999999833,41
3.8870299999999833,41
3.887355000000007,42
3.887400000000007,42
