time_bin_mid,Queue_1_avg_load,Queue_2_avg_load,Queue_3_avg_load,Queue_4_avg_load,Queue_5_avg_load,Queue_6_avg_load,Queue_7_avg_load,Queue_8_avg_load,Queue_9_avg_load,Queue_10_avg_load,Queue_11_avg_load,Queue_12_avg_load
20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.5,6.518072289156627,0.0,7.062111801242236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.5,4.348837209302325,0.0,4.108695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.5,4.582677165354331,0.0,0.0,4.619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.5,0.75,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.5,6.42152466367713,7.430493273542601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.5,6.408256880733945,0.0,9.308333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.5,7.045751633986928,0.0,5.937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.5,3.4054054054054053,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.5,5.580246913580247,0.0,0.0,6.030487804878049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.5,0.5789473684210527,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.5,6.398190045248869,7.756521739130434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,2.1774193548387095,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.5,1.25,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
